VWL(V),VBL(V),Current(uA),Mode,WL,BL,VSL(V),DeviceID
2.1,3,1.9888917767944336,SET_SWEEP,122,5,0,122_5
2.1,3.5,1.3291017377319336,SET_SWEEP,122,5,0,122_5
2.1,4,1.5000001752319336,SET_SWEEP,122,5,0,122_5
2.1,4.5,2.010864433044434,SET_SWEEP,122,5,0,122_5
2.2,3,3.242248710388184,SET_SWEEP,122,5,0,122_5
2.2,3.5,1.6107789838256839,SET_SWEEP,122,5,0,122_5
2.2,4,4.863647636169435,SET_SWEEP,122,5,0,122_5
2.2,4,4.863647636169435,SET_PASSED,122,5,0,122_5
1.6,3,4.326538261169435,SET_SWEEP,122,5,0,122_5
1.6,3.5,4.324096854919435,SET_SWEEP,122,5,0,122_5
1.6,4,4.178833183044434,SET_SWEEP,122,5,0,122_5
1.6,4.5,4.180053886169435,SET_SWEEP,122,5,0,122_5
1.7,3,4.189819511169434,SET_SWEEP,122,5,0,122_5
1.7,3.5,4.098877128356934,SET_SWEEP,122,5,0,122_5
1.7,4,4.240173515075685,SET_SWEEP,122,5,0,122_5
1.7,4.5,4.272216972106934,SET_SWEEP,122,5,0,122_5
1.8,3,4.200195487731934,SET_SWEEP,122,5,0,122_5
1.8,3.5,4.212402518981934,SET_SWEEP,122,5,0,122_5
1.8,4,4.205078300231934,SET_SWEEP,122,5,0,122_5
1.8,4.5,4.202942069763185,SET_SWEEP,122,5,0,122_5
1.9,3,4.139465507263185,SET_SWEEP,122,5,0,122_5
1.9,3.5,4.209045585388184,SET_SWEEP,122,5,0,122_5
1.9,4,4.081176933044434,SET_SWEEP,122,5,0,122_5
1.9,4.5,4.211181815856934,SET_SWEEP,122,5,0,122_5
2,3,4.211181815856934,SET_SWEEP,122,5,0,122_5
2,3.5,4.221862968200684,SET_SWEEP,122,5,0,122_5
2,4,4.212707694763184,SET_SWEEP,122,5,0,122_5
2,4.5,4.213318046325684,SET_SWEEP,122,5,0,122_5
2.1,3,4.292968925231934,SET_SWEEP,122,5,0,122_5
2.1,3.5,4.660095390075684,SET_SWEEP,122,5,0,122_5
2.1,4,4.697937186950684,SET_SWEEP,122,5,0,122_5
2.1,4.5,4.693359550231935,SET_SWEEP,122,5,0,122_5
2.2,3,4.501709159606934,SET_SWEEP,122,5,0,122_5
2.2,3.5,5.022033866638185,SET_SWEEP,122,5,0,122_5
2.2,3.5,5.022033866638185,SET_PASSED,122,5,0,122_5
1.6,3,0.3424684369506836,SET_SWEEP,122,6,0,122_6
1.6,3.5,0.3900758588256836,SET_SWEEP,122,6,0,122_6
1.6,4,0.3958741986694336,SET_SWEEP,122,6,0,122_6
1.6,4.5,0.4263917767944336,SET_SWEEP,122,6,0,122_6
1.7,3,0.3925172650756836,SET_SWEEP,122,6,0,122_6
1.7,3.5,0.6900636517944336,SET_SWEEP,122,6,0,122_6
1.7,4,0.4068605267944336,SET_SWEEP,122,6,0,122_6
1.7,4.5,0.4071657025756836,SET_SWEEP,122,6,0,122_6
1.8,3,0.4230348432006836,SET_SWEEP,122,6,0,122_6
1.8,3.5,0.4605714642944336,SET_SWEEP,122,6,0,122_6
1.8,4,0.41296404241943363,SET_SWEEP,122,6,0,122_6
1.8,4.5,0.42852800726318363,SET_SWEEP,122,6,0,122_6
1.9,3,0.4166261517944336,SET_SWEEP,122,6,0,122_6
1.9,3.5,0.4202882611694336,SET_SWEEP,122,6,0,122_6
1.9,4,0.4212037885131836,SET_SWEEP,122,6,0,122_6
1.9,4.5,0.4242555463256836,SET_SWEEP,122,6,0,122_6
2,3,0.5051271283569336,SET_SWEEP,122,6,0,122_6
2,3.5,0.5136720502319336,SET_SWEEP,122,6,0,122_6
2,4,0.48132341741943363,SET_SWEEP,122,6,0,122_6
2,4.5,0.6751100385131836,SET_SWEEP,122,6,0,122_6
2.1,3,1.2387697064819339,SET_SWEEP,122,6,0,122_6
2.1,3.5,2.4213258588256834,SET_SWEEP,122,6,0,122_6
2.1,4,2.7130739057006834,SET_SWEEP,122,6,0,122_6
2.1,4.5,1.3815919721069336,SET_SWEEP,122,6,0,122_6
2.2,3,4.099182304138184,SET_SWEEP,122,6,0,122_6
2.2,3.5,3.393921073669434,SET_SWEEP,122,6,0,122_6
2.2,4,4.624694999450685,SET_SWEEP,122,6,0,122_6
2.2,4.5,4.569153007263184,SET_SWEEP,122,6,0,122_6
2.3,3.5,4.210571464294435,SET_SWEEP,122,6,0,122_6
2.3,4,5.234741386169434,SET_SWEEP,122,6,0,122_6
2.3,4,5.234741386169434,SET_PASSED,122,6,0,122_6
,,,,,,,
